"Id","Result","Notes","Evidence"
"TC-011","Pass","Register atomic firm+admin+subscription; no login tokens; login works","sub=TRIAL"
"TC-012","Pass","Duplicate email -> 409; no duplicate user","users=1"
"TC-013","Pass","Login + /auth/me match","{""id"":""113b987e-8897-4764-b8dc-c2068d697475"",""firmId"":""e9904d32-28c3-4fd4-b235-8931f2ce8f5e"",""email"":""admin-env-20260903170901@example.com"",""fullName"":""Admin env"",""role"":""ADMIN"",""accessibleClientIds"":[],""uploadOnly"":false}"
"TC-014","Pass","Wrong password rejected (422); generic message","{""detail"":""Invalid credentials"",""instance"":""/api/v1/auth/login"",""status"":422,""title"":""Business Rule Violation"",""errorCode"":""BUSINESS_RULE_VIOLATION""}"
"TC-015","Pass","No account enumeration via login response","status=422; detail=Invalid credentials"
"TC-016","Pass","Login rate limit engages; service stable","status=422"
"TC-017","Pass","Expired JWT -> 401","{""type"":""about:blank"",""title"":""Unauthorized"",""status"":401,""detail"":""Authentication required or token invalid.""}
"
"TC-018","Pass","Tampered role JWT rejected; valid accountant users API=403","create=201"
"TC-019","Pass","JWT firm mismatch -> 401","{""type"":""about:blank"",""title"":""Unauthorized"",""status"":401,""detail"":""Authentication required or token invalid.""}
"
"TC-020","Pass","Deactivated user access token rejected","deact=200; reuse=401"
"TC-021","Pass","Refresh after deactivation fails","status=422 {""detail"":""Refresh token is invalid or expired"",""instance"":""/api/v1/auth/refresh"",""status"":422,""title"":""Business Rule Violation"",""errorCode"":""BUSINESS_RULE_VIOLATION""}"
"TC-023","Pass","Wrong current password rejected; original remains valid","wrong=400"
"TC-022","Pass","Password change works; old fails; new works","change=204"
"TC-024","Pass","Firm ADMIN blocked from platform APIs","{""detail"":""Access Denied"",""instance"":""/api/v1/platform/metrics"",""status"":403,""title"":""Forbidden"",""errorCode"":""ACCESS_DENIED""}"
"TC-025","Pass","Persisted grant allows platform API","{""totalFirms"":4,""activeSubscriptions"":0,""trialFirms"":4,""suspendedFirms"":0}"
"TC-026","Pass","Revoked grant blocks platform access after fresh login","{""detail"":""Access Denied"",""instance"":""/api/v1/platform/metrics"",""status"":403,""title"":""Forbidden"",""errorCode"":""ACCESS_DENIED""}"
"TC-027","Pass","Platform admin cannot access other firm finance endpoints","client=404; expenses=404"
